Room,Lights,LEDs,Fans,AC,Heaters,Printers,Printer_Scanner,PCs,Cooler,Dispenser,Projector,Cameras,ExhaustFan,HandDryer,Connected_Load_W
Day care,2,0,2,1,1,0,0,0,0,0,0,0,0,0,6890
Male washroom,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1710
A208 Faculty Office,4,0,1,1,1,1,0,2,1,0,0,0,0,0,7755
211,4,0,2,1,1,1,0,0,0,0,0,0,0,0,7130
A207,2,0,1,1,1,0,0,1,0,0,0,0,0,0,7065
A212,3,0,2,1,1,0,0,0,0,0,0,0,0,0,6910
A206,1,1,1,1,0,1,0,0,0,0,0,0,0,0,5507
A213,4,1,2,1,1,1,0,1,0,0,0,0,0,0,7392
A205,2,0,1,1,1,0,0,0,0,0,0,0,0,0,6815
A214,2,0,1,1,0,0,0,0,0,0,0,0,0,0,5315
A204,4,0,1,1,1,1,0,2,0,0,0,0,0,0,7555
Unlabeled-1,3,0,2,1,0,1,0,1,0,0,0,0,0,0,5860
A215,2,0,3,1,1,1,1,4,0,0,0,0,0,0,8415
A202,4,0,2,1,0,0,0,0,0,0,0,0,0,0,5430
A216,3,0,2,1,0,0,0,0,0,0,0,0,0,0,5410
A217,2,0,2,1,1,0,0,0,0,0,0,0,0,0,6890
Corridor,13,0,0,0,0,0,0,0,0,0,0,0,0,0,260
Female washroom,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1710
Common room,11,0,4,1,1,0,0,0,0,0,0,0,0,0,7220
A221,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1615
Kitchen,3,0,1,0,0,0,0,0,0,1,0,0,0,0,285
A222,9,0,3,0,0,0,0,0,0,0,0,0,0,0,405
A226,4,2,2,1,1,0,0,0,0,0,0,0,0,0,6954
A225,16,2,1,1,0,0,0,42,0,0,1,2,0,0,16439
219,2,0,1,1,1,1,0,0,0,0,0,0,0,0,7015
A218,8,0,0,1,1,2,0,3,0,2,0,0,0,0,8310
Unlabeled-2,11,0,5,0,1,1,0,2,0,1,0,0,0,0,2945
